TCL.A	Transcontinental Inc. Class A Subordin...	$22.30	$23.12	$16.27	63,351,272	$1,412,733,365
ECN	ECN Capital Corp.	$3.62	$3.70	$2.60	387,112,489	$1,401,347,210
AIM	Aimia Inc.	$9.12	$9.49	$6.90	152,294,611	$1,388,926,852
GTE	Gran Tierra Energy Inc.	$3.55	$4.44	$2.98	390,807,191	$1,387,365,528
SPE	Spartan Energy Corp.	$2.62	$3.65	$2.49	525,825,255	$1,377,662,168
CRT.UN	CT Real Estate Investment Trust	$15.10	$15.76	$13.80	90,479,102	$1,366,234,440
TOG	TORC Oil & Gas Ltd.	$7.36	$9.23	$6.70	183,354,150	$1,349,486,544
MUX	McEwen Mining Inc.	$4.39	$6.44	$2.30	299,569,826	$1,315,111,536
CHP.UN	Choice Properties Real Estate Investme...	$14.19	$14.69	$12.12	92,568,828	$1,313,551,669
SMF	Semafo Inc.	$3.99	$7.46	$3.60	324,840,476	$1,296,113,499
IFP	Interfor Corporation	$18.49	$18.75	$10.21	70,030,455	$1,294,863,112
ET	Evertz Technologies Limited	$17.10	$19.24	$15.72	75,619,746	$1,293,097,656
ITP	Intertape Polymer Group Inc.	$21.76	$25.74	$16.48	59,060,335	$1,285,152,889
CAS	Cascades Inc.	$13.43	$14.39	$7.72	94,606,610	$1,270,566,772
TMR	TMAC Resources Inc.	$15.11	$20.18	$8.50	83,592,066	$1,263,076,117
ESI	Ensign Energy Services Inc.	$8.19	$10.41	$5.56	154,140,909	$1,262,414,044
CHE.UN	Chemtrade Logistics Income Fund	$18.17	$19.22	$16.10	69,172,785	$1,256,869,503
ATA	ATS Automation Tooling Systems Inc.	$13.47	$13.88	$9.16	92,565,609	$1,246,858,753
LNF	Leon's Furniture Limited	$17.29	$19.36	$14.05	71,949,454	$1,244,006,059
SW	Sierra Wireless Inc.	$38.60	$39.80	$16.48	31,859,960	$1,229,794,456
TCN	Tricon Capital Group Inc.	$10.86	$11.16	$8.10	112,754,769	$1,224,516,791
LIF	Labrador Iron Ore Royalty Corporation	$19.07	$20.67	$11.06	64,000,000	$1,220,480,000
ZZZ	Sleep Country Canada Holdings Inc.	$32.40	$34.15	$18.30	37,648,349	$1,219,806,507
CRR.UN	Crombie Real Estate Investment Trust	$13.69	$15.79	$13.02	87,855,116	$1,202,736,538
UNC	United Corporations Limited	$98.49	$98.49	$90.66	12,194,193	$1,201,006,068
DRG.UN	Dream Global Real Estate Investment Trust	$9.55	$10.00	$8.36	125,632,095	$1,199,786,507
KDX	Klondex Mines Ltd.	$6.79	$7.95	$3.40	175,835,809	$1,193,925,143
BAD	Badger Daylighting Ltd.	$32.01	$35.19	$19.50	37,100,681	$1,187,592,798
EQB	Equitable Group Inc.	$71.84	$74.66	$49.70	16,460,142	$1,182,496,601
EIF	Exchange Income Corporation	$37.90	$45.28	$25.50	31,096,804	$1,178,568,871
JE	Just Energy Group Inc.	$7.82	$8.73	$6.41	147,822,639	$1,155,973,036
